year,start_date,end_date,start_close,end_close,annual_return,max_drawdown_from_year_high,year_high,year_low,trading_days,source
1946,1946-01-02,1946-12-31,17.2500,15.3000,-0.118664,-0.266494,19.2500,14.1200,250,Yahoo Finance chart API ^GSPC
1947,1947-01-02,1947-12-31,15.2000,15.3000,0.000000,-0.146840,16.1400,13.7700,250,Yahoo Finance chart API ^GSPC
1948,1948-01-02,1948-12-31,15.3400,15.2000,-0.006536,-0.135404,17.0600,13.8400,251,Yahoo Finance chart API ^GSPC
1949,1949-01-03,1949-12-30,14.9500,16.7900,0.104605,-0.131967,16.7900,13.5500,250,Yahoo Finance chart API ^GSPC
1950,1950-01-03,1950-12-29,16.6600,20.4300,0.216796,-0.140206,20.4300,16.6600,249,Yahoo Finance chart API ^GSPC
1951,1951-01-02,1951-12-31,20.7700,23.7700,0.163485,-0.081105,23.8500,20.6900,249,Yahoo Finance chart API ^GSPC
1952,1952-01-02,1952-12-31,23.8000,26.5700,0.117796,-0.068493,26.5900,23.0900,250,Yahoo Finance chart API ^GSPC
1953,1953-01-02,1953-12-31,26.5400,24.8100,-0.066240,-0.148162,26.6600,22.7100,251,Yahoo Finance chart API ^GSPC
1954,1954-01-04,1954-12-31,24.9500,35.9800,0.450222,-0.044217,35.9800,24.8000,252,Yahoo Finance chart API ^GSPC
1955,1955-01-03,1955-12-30,36.7500,45.4800,0.264036,-0.105851,46.4100,34.5800,252,Yahoo Finance chart API ^GSPC
1956,1956-01-03,1956-12-31,45.1600,46.6700,0.026165,-0.105963,49.6400,43.1100,251,Yahoo Finance chart API ^GSPC
1957,1957-01-02,1957-12-31,46.2000,39.9900,-0.143133,-0.206595,49.1300,38.9800,252,Yahoo Finance chart API ^GSPC
1958,1958-01-02,1958-12-31,40.3300,55.2100,0.380595,-0.043570,55.2100,40.3300,252,Yahoo Finance chart API ^GSPC
1959,1959-01-02,1959-12-31,55.4400,59.8900,0.084767,-0.091748,60.7100,53.5800,253,Yahoo Finance chart API ^GSPC
1960,1960-01-04,1960-12-30,59.9100,58.1100,-0.029721,-0.135618,60.3900,52.2000,252,Yahoo Finance chart API ^GSPC
1961,1961-01-03,1961-12-29,57.5700,71.5500,0.231286,-0.062318,72.6400,57.5700,250,Yahoo Finance chart API ^GSPC
1962,1962-01-02,1962-12-31,70.9600,63.1000,-0.118099,-0.286409,71.9600,51.3500,252,Yahoo Finance chart API ^GSPC
1963,1963-01-02,1963-12-31,62.6900,75.0200,0.188906,-0.075818,75.3600,62.3200,251,Yahoo Finance chart API ^GSPC
1964,1964-01-02,1964-12-31,75.4300,84.7500,0.129699,-0.047811,86.8000,74.8200,253,Yahoo Finance chart API ^GSPC
1965,1965-01-04,1965-12-31,84.2300,92.4300,0.090619,-0.109726,93.3000,80.7300,252,Yahoo Finance chart API ^GSPC
1966,1966-01-03,1966-12-30,92.1800,80.3300,-0.130910,-0.236909,94.7200,72.2800,252,Yahoo Finance chart API ^GSPC
1967,1967-01-03,1967-12-29,80.3800,96.4700,0.200921,-0.084619,98.3100,79.4300,251,Yahoo Finance chart API ^GSPC
1968,1968-01-02,1968-12-31,96.1100,103.8600,0.076604,-0.113553,109.3700,86.7300,226,Yahoo Finance chart API ^GSPC
1969,1969-01-02,1969-12-31,103.9300,92.0600,-0.113615,-0.175192,106.7400,88.0400,250,Yahoo Finance chart API ^GSPC
1970,1970-01-02,1970-12-31,93.0000,92.1500,0.000978,-0.272042,94.2500,68.6100,254,Yahoo Finance chart API ^GSPC
